"User ID","User display name","Timestamp","Distribución preferida","Franja de tiempo"
"","Anonymous user","2026-09-17T20:13:42+02:00","Ubuntu","12-14h"
"","Anonymous user","2026-09-18T11:32:47+02:00","Ubuntu","14-16h"
"","Anonymous user","2026-09-18T12:09:47+02:00","Mint","12-14h"
"","Anonymous user","2026-09-19T11:13:45+02:00","Ubuntu","10-12h; 16-18h"
"","Anonymous user","2026-09-19T14:35:20+02:00","Ubuntu","14-16h; 16-18h"
"","Anonymous user","2026-09-20T19:31:51+02:00","Ubuntu","12-14h; 14-16h"
"","Anonymous user","2026-09-20T19:32:06+02:00","Ubuntu","14-16h; 12-14h"
"","Anonymous user","2026-09-21T11:40:21+02:00","Fedora","10-12h; 12-14h; 16-18h; 18-21h"
"","Anonymous user","2026-09-21T11:41:23+02:00","Fedora","14-16h"
"","Anonymous user","2026-09-21T12:23:07+02:00","Ubuntu","10-12h"
"","Anonymous user","2026-09-21T16:43:00+02:00","Ubuntu","12-14h"
"","Anonymous user","2026-09-21T18:14:41+02:00","Ubuntu","10-12h"
"","Anonymous user","2026-09-22T10:13:51+02:00","Mint","14-16h; 16-18h; 18-21h"
"","Anonymous user","2026-09-22T16:06:39+02:00","Ubuntu","14-16h"
"","Anonymous user","2026-09-22T17:20:42+02:00","Ubuntu","16-18h; 18-21h"
"","Anonymous user","2026-09-22T18:28:20+02:00","Ubuntu","12-14h; 18-21h"
"","Anonymous user","2026-09-23T00:07:15+02:00","Ubuntu","14-16h"
"","Anonymous user","2026-09-23T18:10:02+02:00","Ubuntu","18-21h"
"","Anonymous user","2026-09-24T18:02:24+02:00","Ubuntu","14-16h; 10-12h"
"","Anonymous user","2026-09-24T19:54:44+02:00","Fedora","14-16h"
"","Anonymous user","2026-09-24T22:06:47+02:00","Ubuntu","10-12h"
"","Anonymous user","2026-09-25T08:02:07+02:00","Ubuntu","8-10h"
"","Anonymous user","2026-09-25T08:50:15+02:00","Ubuntu","8-10h"
"","Anonymous user","2026-09-25T08:50:28+02:00","Ubuntu","8-10h"
"","Anonymous user","2026-09-25T11:47:01+02:00","Ubuntu","16-18h"
